Name                                                 Stmts   Miss Branch BrPart  Cover   Missing
------------------------------------------------------------------------------------------------
.grok-stack/adaptive_grok/__init__.py                    1      0      0      0   100%
.grok-stack/adaptive_grok/_policy_legacy.py            486    191    322     56    56%   86->90, 88->90, 97->99, 113-117, 121-122, 126-130, 134-136, 148-149, 154-165, 177, 181-218, 222-242, 246-264, 270->278, 281, 287, 291, 293, 317-333, 338->349, 342, 354, 361, 363, 367, 370, 372, 373->381, 375, 376->381, 378, 380, 387-388, 390, 398->400, 401, 405->407, 408, 417, 430, 436, 439, 458, 460, 465-468, 471, 476-493, 495-505, 511, 527, 532, 541, 543-545, 554, 557->555, 559, 573, 584, 600, 612, 616->620, 617->616, 628->641, 633->641, 639
.grok-stack/adaptive_grok/architecture.py             1951    298   1186    234    82%   124, 213, 231, 295, 303, 315, 332-333, 469, 503, 537-538, 540, 566, 570, 572, 615, 617, 638, 661, 758-759, 763, 779, 783, 787, 796, 833-834, 839->841, 845, 865, 904, 917->889, 934-935, 945-946, 949, 958-964, 982-983, 987->989, 1018, 1053, 1190-1191, 1209, 1233, 1240, 1300, 1310, 1331, 1333, 1336, 1398, 1400, 1415, 1417, 1427, 1446, 1451-1459, 1461, 1470, 1517-1519, 1579, 1582-1588, 1590, 1602, 1605, 1610, 1631, 1634, 1647, 1661, 1665-1670, 1672, 1675, 1679-1684, 1686, 1689, 1694-1699, 1701, 1704, 1706, 1709, 1712, 1717-1722, 1728, 1745, 1755, 1761, 1773, 1778, 1791, 1797, 1802, 1831->1833, 1842->1844, 1853->1855, 1871, 1899, 1901, 1904, 1908, 1922, 1924, 1926, 1939, 1942, 1944, 1953, 1965, 1973, 1978, 1980, 1987, 2001, 2007, 2013, 2030, 2036, 2039, 2041, 2044, 2046, 2064, 2071, 2073, 2079, 2088, 2092, 2128, 2130, 2133, 2146, 2171, 2208, 2233, 2235, 2249, 2252, 2256, 2271, 2273, 2296-2297, 2299-2300, 2302-2303, 2313, 2353-2354, 2406, 2413, 2437, 2468-2474, 2499-2502, 2513, 2520, 2523, 2526, 2529, 2541, 2547, 2550, 2555, 2557, 2560, 2572, 2574, 2590, 2596, 2599, 2611, 2617, 2620, 2623, 2625, 2629, 2631, 2642, 2644, 2648, 2679, 2681, 2684, 2686, 2689, 2691, 2701, 2705, 2707, 2710, 2712, 2723, 2725, 2732, 2751, 2753, 2756, 2764, 2769, 2773, 2776, 2791, 2796, 2810, 2822, 2831, 2834, 2837, 2839, 2841, 2845, 2848, 2850, 2853, 2855, 2859, 2861, 2865, 2935->2933, 2942, 2956->2960, 2981, 3028, 3030->3029, 3064, 3077, 3079-3081, 3090, 3096, 3105, 3127, 3129, 3142, 3144, 3168, 3172, 3192, 3210, 3247, 3249, 3269, 3292->3296, 3296->3300, 3309-3315, 3339, 3348-3349, 3393-3401, 3470-3472, 3483-3485, 3495-3497
.grok-stack/adaptive_grok/architecture_diagrams.py     177     19     52      8    86%   140-141, 147, 156-160, 182, 184, 186, 194->exit, 201-202, 204, 227, 249, 252, 270, 279
.grok-stack/adaptive_grok/architecture_diff.py         688     88    280     65    84%   62, 69-70, 117-118, 137-138, 141-143, 150, 161, 180, 232-233, 239, 245, 259-263, 269, 337, 349, 358, 360, 366, 373-374, 378->380, 386, 388, 419->421, 439, 451, 456-459, 463, 480-481, 493, 525, 539, 547-548, 551, 557, 563-564, 574-575, 579, 589, 612, 616, 619, 621, 623, 635, 667, 674, 693, 711, 826, 855, 865, 898-899, 902, 906, 909, 912-913, 919, 930, 935, 947, 952, 957, 967, 985, 993, 997, 1007, 1038, 1097, 1099, 1106, 1116, 1139
.grok-stack/adaptive_grok/architecture_fitness.py     1423     83    726     59    93%   266, 299, 305, 313, 321, 334, 342, 354, 357, 359, 362, 371, 374, 382-383, 385, 408, 451, 457, 461->460, 531->503, 545, 549, 554, 625, 643-645, 654, 688, 695, 739->738, 874, 879, 883, 1026, 1100->1102, 1159->1170, 1179, 1186, 1288, 1310-1311, 1324-1325, 1328-1329, 1335-1336, 1339-1341, 1480, 1536-1538, 1575-1576, 1711-1713, 1807, 1815->1814, 1839, 1851, 1960-1962, 1966-1967, 1972, 1986-1987, 2103-2105, 2207, 2233-2234, 2309, 2311, 2347-2349, 2351, 2507, 2622, 2624, 2656
.grok-stack/adaptive_grok/bitrix_checks.py              75      6     46      4    92%   18, 50, 57-58, 66, 92
.grok-stack/adaptive_grok/change.py                     57      6     16      2    89%   41-43, 67-68, 92
.grok-stack/adaptive_grok/demo.py                      122     11     16      5    88%   38, 42, 44, 60, 62, 72, 164-165, 263-265
.grok-stack/adaptive_grok/demo_http.py                 140     18     40      7    86%   65->exit, 101, 109-110, 116-118, 127-128, 138-140, 146-147, 161-163, 168, 185
.grok-stack/adaptive_grok/deploy.py                     57     19     22      4    63%   14-17, 27, 41-51, 63, 66, 70
